,,,,,,,,,,,,,,,,,,
Session Control,,,,,,,,,,,,,,,,,,
,,,,Jul,Ago,,Set,,Out,,nov,,,Out,,Nov,,Dez
,,,,Dados gerais ,,,,,,,,,,,,,,
,Aposta Ganha,"início do projeto
25/07/2025",Total,11.692,20.847,"78,30%",26.523,"27,23%",22.736,"-14,28%",29.918,"31,59%",,,,,,
,,,No-meaningfull,10.458,13.331,"27,47%",10028,"-24,78%",5.217,"-47,98%",4.452,"-14,66%",,,,,,
,,,Meaningful,1.234,7.543,"511,26%",16.495,"118,68%",17.519,"6,21%",25.362,"44,77%",,,,,,
,,,%,11%,37%,"236,36%",63%,"70,27%",78%,"23,81%",86%,"10,26%",,,,,,
,,,Coverage,51%,51%,"0,00%",57%,"11,76%",49%,"-14,04%",38%,"-22,45%",,,,,,
,,,containment,9%,26%,"188,89%",49%,"88,46%",60%,"22,45%",62%,"3,33%",,,,,,
,,,,Tempo de resposta,,,,,,,,,,,,,,
,,,Agente Humano,55s,1m 2s,,1m 36s,,1m 43s,,,,,,,,,
,,,Agente de IA,1s,3s,,1s,,2s,,,,,,,,,
,,,,Numero de conversas tratadas,,,,,,,,,,,,,,
,,,Agente Humano,10.763,16.617,"54,39%",15.267,"-8,12%",10.955,"-28,24%",,,,,,,,
,,,Agente de IA,9.976,13.331,"33,63%",23.411,"75,61%",19.919,"-14,92%",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Aposta Ganha - Métricas Zendesk (Atendimento Humano),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Volumetria,,Performance,,,,,,,,,,,,,,
,,,Tickets (conversas),Tempo de primeira resposta (min),Tempo de resolução (min),,,,,,,,,,,,,
,ANTES,Março,30312,1,23,,,,,,,,,,,,,
,,Abril,26445,1,16,,,,,,,,,,,,,
,,Maio,19393,2,14,,,,,,,,,,,,,
,,Junho,12904,2,14,,,,,,,,,,,,,
,,Julho (01/07 a 24/07),9882,1,15,,,,,,,,,,,,,
,DEPOIS,Julho (25/07 a 31/07),3120,1,15,,,,,,,,,,,,,
,,Agosto,12077,1,14,,,,,,,,,,,,,
,,Setembro,12504,1,14,,,,,,,,,,,,,
,,Outubro,9341,3,16,,,,,,,,,,,,,
,,Novembro (até 26/11),10701,2,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Dados separados por cérebro de agente de IA - Julho a Novembro,,,,,,,,,,,,,,,,,